name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
LA CHULA GASTROBAR,"Carrer d'Espalter, 4, 08001 Barcelona, Spain",4.4,0,1,1,1,1,1,1,1,1,1,62.0,"Carrer d'Espalter, 4, Barcelona",True,41.37855390000001,2.1706442,08001,El Raval,Ciutat Vella
Tokyo-Ya,"C/ de Balmes, 197, 08006 Barcelona, Spain",4.4,0,0,0,0,0,0,0,0,0,0,335.0,"Carrer de Balmes, 197, Barcelona",True,41.39714559999999,2.1519693,08006,El Farro,Sarria - Sant Gervasi
M.A.M.I. Italian Gastrobar,"Av. Diagonal, 366, 08013 Barcelona, Spain",4.9,0,1,1,1,1,1,1,1,1,1,162.0,"Avinguda Diagonal, 366, Barcelona",True,41.39961,2.171110000000001,08013,El Fort Pienc,Eixample
Maska GastroPub,"C/ de Pau Claris, 117, 08009 Barcelona, Spain",4.9,1,1,1,1,0,1,1,1,1,1,140.0,"Carrer de Pau Claris, 117, Barcelona",True,41.3921409,2.1678013,08009,Dreta Eixample,Eixample
Restaurant Núria Pous,"C. de Santander, 16, 08020 Barcelona, Spain",4.3,1,1,0,1,1,0,1,0,1,1,52.0,"Carrer de Santander, 16, Barcelona",True,41.42383909999999,2.1981799,08020,La Verneda - Sant Marti de Provençals,Sant Marti
O Grelo,"C/ de Bolívia, 138, 08018 Barcelona, Spain",4.0,0,1,1,1,1,1,1,0,1,1,238.0,"Carrer de Bolívia, 138, Barcelona",True,41.4064845,2.19618,08018,El Clot,Sant Marti
Viandbeers,"Carrer de Blai, 45, bajos 2, 08004 Barcelona, Spain",4.0,0,1,0,1,0,1,1,0,1,1,197.0,"Carrer de Blai, 45, bajos 2, Barcelona",,41.37405330000001,2.1632921,08004,Poble Sec,Sants - Montjuic
Nube 92,"C/ de St. Antoni Maria Claret, 92, 08025 Barcelona, Spain",4.6,1,1,0,1,0,0,1,0,0,1,23.0,"Carrer de Sant Antoni Maria Claret, 92, Barcelona",True,41.4063639,2.1682995,08025,Camps d'en Grassot i Gracia Nova,Gracia
Flintana 89,"C/ de Balmes, 341, 08006 Barcelona, Spain",,0,1,0,1,0,0,1,0,1,1,,"Carrer de Balmes, 341, Barcelona",,41.4031854,2.1428046,08006,El Farro,Sarria - Sant Gervasi
ASOCIACION cannabica,"C/ de la Selva de Mar, 9, 08019 Barcelona, Spain",,0,1,0,1,0,0,0,0,0,0,,"Carrer de la Selva de Mar, 9, Barcelona",True,41.4054796,2.2128076,08019,El Besos - Sant Marti,Sant Marti
Ristorante Pizzeria Eden Barcelona,"C/ de Provença, 332, 08037 Barcelona, Spain",4.7,1,1,1,1,1,1,1,1,1,1,2887.0,"Carrer de Provença, 332, Barcelona",False,41.3972199,2.1649694,08037,Dreta Eixample,Eixample
Restaurante Sporting,"C. de Maspons, 16, 08012 Barcelona, Spain",4.1,0,1,0,1,1,1,1,0,1,1,745.0,"Carrer de Maspons, 16, Barcelona",True,41.40120719999999,2.1564974,08012,Vila de Gracia,Gracia
Restaurant Zero Nove Cinque,"Carrer de Jaume Giralt, 5, 08003 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,1,618.0,"Carrer de Jaume Giralt, 5, Barcelona",True,41.3870925,2.179968999999999,08003,Barceloneta,Ciutat Vella
Empanades LA PANADA - Gaudí,"Av. de Gaudí, 72, 08025 Barcelona, Spain",4.7,1,0,0,0,0,0,0,0,0,1,234.0,"Avinguda de Gaudí, 72, Barcelona",True,41.4105597,2.174510199999999,08025,Camps d'en Grassot i Gracia Nova,Gracia
Pizzeria La Svolta,"C. de Pérez Galdós, 30, 08012 Barcelona, Spain",4.4,0,1,0,1,0,1,1,0,1,1,288.0,"Carrer de Pérez Galdós, 30, Barcelona",,41.40611439999999,2.1515097,08012,Vila de Gracia,Gracia
Bar Feliz,"Pg. de Fabra i Puig, 278, 08031 Barcelona, Spain",3.7,0,1,1,1,0,0,0,0,1,1,135.0,"Passeig de Fabra i Puig, 278, Barcelona",,41.430481,2.1723776,08031,Horta,Horta - Guinardo
el fornet,"C/ de Roger de Llúria, 56, 08009 Barcelona, Spain",4.1,0,1,0,1,1,0,1,0,0,1,270.0,"Carrer de Roger de Llúria, 56, Barcelona",True,41.3930855,2.1691175,08009,Dreta Eixample,Eixample
JOK,"Carrer de Mallorca, 275, Entresol, C/ de Mallorca, 275, Entresuelo, 08008 Barcelona, Spain",4.6,0,1,1,1,1,1,1,0,1,0,620.0,"Carrer de Mallorca, 275, Entresol, Carrer de Mallorca, 275, Entresuelo, Barcelona",,41.3948167,2.1635591,08008,Antiga Esquerra Eixample,Eixample
Bar Fluvià 45,"Carrer de Fluvià, 45, 08019 Barcelona, Spain",4.3,0,1,0,1,1,1,1,0,1,1,116.0,"Carrer de Fluvià, 45, Barcelona",True,41.4055291,2.2087001,08019,El Besos - Sant Marti,Sant Marti
K Va Brö,"Pg. de Fabra i Puig, 311, Entresuelo 2, 08031 Barcelona, Spain",4.5,1,1,0,1,0,0,1,0,1,1,13.0,"Passeig de Fabra i Puig, 311, Entresuelo 2, Barcelona",True,41.4303037,2.1679435,08031,Horta,Horta - Guinardo
Món Việt,"C/ de Sepúlveda, 94, 08015 Barcelona, Spain",4.4,1,1,1,1,1,1,1,1,1,1,2035.0,"Carrer de Sepúlveda, 94, Barcelona",True,41.3791337,2.1573064,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
CREPPY,"1, Carrer del Camp, 08021 Barcelona, Spain",3.9,1,0,0,0,0,0,0,0,0,1,218.0,"1, Carrer del Camp, Barcelona",,41.4012454,2.1385506,08021,Les Corts - Sarria,Les Corts
Simply To Go,"Pg. Marítim de la Barceloneta, 25, 08003 Barcelona, Spain",2.7,0,1,0,0,0,0,1,0,0,1,6.0,"Passeig Marítim de la Barceloneta, 25, Barcelona",True,41.3830135,2.1944369,08003,Barceloneta,Ciutat Vella
El Pibe,"Carrer de l'Artesania, 54, 08042 Barcelona, Spain",4.0,1,1,0,1,1,1,1,0,1,1,949.0,"Carrer de l'Artesania, 54, Barcelona",True,41.440174,2.174052,08042,Canyelles - Roquetes,Nou Barris
El Rincon Dominicano Bcn,"C/ de Biscaia, 361, 08027 Barcelona, Spain",4.9,1,1,1,1,0,1,1,0,1,1,391.0,"Carrer de Biscaia, 361, Barcelona",True,41.41724259999999,2.1863673,08027,El Congres - Navas,Sant Andreu
El chalito,"Via Augusta, 08021 Barcelona, Spain",3.7,0,1,1,1,0,1,1,0,1,1,9.0,"Via Augusta, Barcelona",True,41.39762810000001,2.135730100000001,08021,Les Corts - Sarria,Les Corts
La Mesa,"Pg. de Gràcia, 38, 40, 08007 Barcelona, Spain",,0,1,1,0,0,0,1,0,0,0,,"Passeig de Gràcia, 38, 40, Barcelona",True,41.3912786,2.1667383,08007,Antiga Esquerra Eixample,Eixample
Turquia Halal Doner Kebab - Pizzeria,"Carrer de Lucà, 13, 08022 Barcelona, Spain",3.8,1,1,0,0,0,1,1,0,0,1,308.0,"Carrer de Lucà, 13, Barcelona",True,41.4111486,2.1386546,08022,Sarria - La Bonanova,Les Corts
Wok of Fame,"Carrer de la Marina, 57, 08005 Barcelona, Spain",5.0,1,1,0,1,0,1,1,0,1,1,21.0,"Carrer de la Marina, 57, Barcelona",True,41.3914397,2.190827,08005,Poblenou,Sant Marti
La Mundana,"Carrer del Vallespir, 93, 08014 Barcelona, Spain",4.5,1,1,1,1,0,1,1,0,1,1,2122.0,"Carrer del Vallespir, 93, Barcelona",True,41.3811259,2.1358199,08014,La Bordeta - Les Corts,Sants - Montjuic
El Kabron Beach Club,"Passeig Marítim del Bogatell, 115, 08005 Barcelona, Spain",3.6,0,1,1,1,0,1,1,0,1,0,65.0,"Passeig Marítim del Bogatell, 115, Barcelona",,41.3997299,2.2129451,08005,Poblenou,Sant Marti
arcano,"Gran Via de les Corts Catalanes, 08010 Barcelona, Spain",,0,1,0,0,0,1,1,0,0,0,,"Gran Via de les Corts Catalanes, Barcelona",True,41.39390969999999,2.1745722,08010,Dreta Eixample,Eixample
Bar Siscu (Comida Asiática),"C/ de Sardenya, 49, 08005 Barcelona, Spain",4.4,1,1,1,1,0,1,1,0,1,1,46.0,"Carrer de Sardenya, 49, Barcelona",True,41.39187039999999,2.1883328,08005,Poblenou,Sant Marti
BIG BOWL 大碗老坛酸菜鱼,"C. de la Indústria, 156, 08025 Barcelona, Spain",4.5,1,1,1,1,0,0,0,0,1,1,210.0,"Carrer de la Indústria, 156, Barcelona",,41.4096143,2.174816,08025,Camps d'en Grassot i Gracia Nova,Gracia
El Racó de Collserola,"Ctra. de l'Església, km 5, 8, 08017 Barcelona, Spain",4.1,0,1,1,1,1,1,1,0,1,1,997.0,"Carretera de l'Església, km 5, 8, Barcelona",True,41.4184317,2.1014977,08017,Vallvidrera,Sarria - Sant Gervasi
Entrepans I Tapes,"Carrer de Castella, 08018 Barcelona, Spain",4.0,0,1,0,1,0,0,1,0,1,1,1.0,"Carrer de Castella, Barcelona",True,41.40566500000001,2.1973105,08018,El Clot,Sant Marti
Restaurante Biblos,"C/ de Praga, 27-29, 08024 Barcelona, Spain",5.0,1,1,1,1,0,1,1,1,1,1,157.0,"Carrer de Praga, 27-29, Barcelona",False,41.41380960000001,2.1630862,08024,Gracia - Can Baro,Gracia
Ametller Origen,"C/ de Ricardo Villa, 2, 08017 Barcelona, Spain",4.1,1,0,0,0,0,0,0,0,0,0,28.0,"Carrer de Ricardo Villa, 2, Barcelona",True,41.392381,2.133228,08017,Vallvidrera,Sarria - Sant Gervasi
El Jardí Bar Restaurant,"Carrer de Malats, 16, 08030 Barcelona, Spain",4.0,0,1,1,1,1,1,1,0,1,1,143.0,"Carrer de Malats, 16, Barcelona",True,41.436133,2.1903848,08030,San Andres Palomar,Sant Andreu
Sushi,"C/ Antic de Bofarull, 15, 08026 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer Antic de Bofarull, 15, Barcelona",,41.41095109999999,2.186201,08026,Camp de l'arpa,Sant Marti
TERNERITO street food,"C/ de Mallorca, 437, 08013 Barcelona, Spain",4.9,1,1,0,1,0,1,1,0,0,1,158.0,"Carrer de Mallorca, 437, Barcelona",True,41.40525329999999,2.1774363,08013,El Fort Pienc,Eixample
BAR RESTAURANTE CAMI,"Carrer de Lluc, 6, 08016 Barcelona, Spain",4.7,0,1,1,1,1,1,1,0,1,1,218.0,"Carrer de Lluc, 6, Barcelona",,41.4381351,2.1779455,08016,Porta-La Prosperitat,Nou Barris
CUVI,"Carrer de Marià Cubí, 17, 08006 Barcelona, Spain",4.6,0,1,1,1,1,1,1,1,1,1,66.0,"Carrer de Marià Cubí, 17, Barcelona",,41.3987397,2.1505287,08006,El Farro,Sarria - Sant Gervasi
Bar Bodega Carol,"C/ d'Aragó, 558, 08026 Barcelona, Spain",4.3,0,1,0,1,0,0,0,0,1,1,353.0,"Carrer d'Aragó, 558, Barcelona",,41.40696199999999,2.184842,08026,Camp de l'arpa,Sant Marti
Cafe Bar Dada,"C/ del Rosselló, 86, 08029 Barcelona, Spain",3.1,0,1,0,1,0,1,1,0,1,1,150.0,"Carrer del Rosselló, 86, Barcelona",,41.3870201,2.1491723,08029,Sarria,Sarria - Sant Gervasi
Super Döner Kebab,"08041 Barcelona, Spain",4.0,1,1,0,1,0,1,1,0,0,1,48.0,Spain,,41.4169834,2.1741794,08041,El Guinardo,Horta - Guinardo
Chiringuito Mokai Beach,"Avinguda del Litoral, 08005 Barcelona, Spain",3.4,0,1,1,1,0,0,0,0,1,1,1109.0,"Avinguda del Litoral, Barcelona",True,41.3903126,2.2012666,08005,Poblenou,Sant Marti
El Típical,"Carrer de Llull, 259, 08005 Barcelona, Spain",4.7,0,1,0,1,0,0,1,1,1,1,154.0,"Carrer de Llull, 259, Barcelona",True,41.4043669,2.20643,08005,Poblenou,Sant Marti
Burrikos Balmes,"C/ de Balmes, 440, 08022 Barcelona, Spain",4.2,1,1,0,1,0,1,1,0,0,1,10.0,"Carrer de Balmes, 440, Barcelona",True,41.4081186,2.1381179,08022,Sarria - La Bonanova,Les Corts
Figa Mostrador,"Via Augusta, 105, 08006 Barcelona, Spain",5.0,0,1,1,1,1,1,1,1,1,1,70.0,"Via Augusta, 105, Barcelona",,41.4010719,2.148429999999999,08006,El Farro,Sarria - Sant Gervasi
Made In Sicily,"Carrer dels Escudellers, 35, 08002 Barcelona, Spain",4.3,1,1,1,1,1,1,1,1,1,1,1107.0,"Carrer dels Escudellers, 35, Barcelona",True,41.3798848,2.1765786,08002,Barri Gotic,Ciutat Vella
Chihuahua Restaurant,"Pg. de Maragall, 107, 08041 Barcelona, Spain",4.2,1,1,1,1,1,1,1,0,1,1,1601.0,"Passeig de Maragall, 107, Barcelona",True,41.4189146,2.1802376,08041,El Guinardo,Horta - Guinardo
La Tapería,"Carrer del Pi, 08002 Barcelona, Spain",5.0,0,1,1,1,0,1,1,0,1,1,1.0,"Carrer del Pi, Barcelona",True,41.38329649999999,2.1739325,08002,Barri Gotic,Ciutat Vella
La Pubilla,"Plaça de la Llibertat, 23, 08012 Barcelona, Spain",4.5,0,1,1,1,0,1,1,0,1,0,2164.0,"Plaça de la Llibertat, 23, Barcelona",,41.3995399,2.1536577,08012,Vila de Gracia,Gracia
Casa Rous,"Av. de Josep Tarradellas, 133, 08029 Barcelona, Spain",3.7,0,1,0,1,0,0,1,0,1,1,3.0,"Avinguda de Josep Tarradellas, 133, Barcelona",,41.3900085,2.1432105,08029,Sarria,Sarria - Sant Gervasi
Ido,"Carrer de Laforja, 15, 08006 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer de Laforja, 15, Barcelona",,41.3992873,2.1499919,08006,El Farro,Sarria - Sant Gervasi
Bonanova Coffees,"260-262, Via Augusta, 08017 Barcelona, Spain",4.6,0,1,0,1,0,0,1,0,1,1,64.0,"260-262, Via Augusta, Barcelona",True,41.3980436,2.1339846,08017,Vallvidrera,Sarria - Sant Gervasi
mà de morter,"Travessera de les Corts, 118-120, Local 2, 08028 Barcelona, Spain",4.3,0,1,1,1,1,0,1,1,1,1,173.0,"Travessera de les Corts, 118-120, Local 2, Barcelona",True,41.3799415,2.1258397,08028,Les Corts,Les Corts
RICO KEBAB PIZZERIA,"Carrer de Baltasar Gracián, 39, 08016 Barcelona, Spain",3.8,1,1,1,1,1,1,1,0,0,1,24.0,"Carrer de Baltasar Gracián, 39, Barcelona",,41.44127940000001,2.1802651,08016,Porta-La Prosperitat,Nou Barris
Frankfurt Julia,"Plaça d'Eivissa, 4, 08032 Barcelona, Spain",3.8,0,1,0,1,1,1,1,0,1,1,268.0,"Plaça d'Eivissa, 4, Barcelona",False,41.4300141,2.1609755,08032,La Font d'en Fargues,Horta - Guinardo
Pizza Bulls,"Gran Via de les Corts Catalanes, 972, 08018 Barcelona, Spain",4.4,0,1,1,1,0,1,1,1,1,1,919.0,"Gran Via de les Corts Catalanes, 972, Barcelona",False,41.4102137,2.196858,08018,El Clot,Sant Marti
El Rincon de Kebab,"Carrer del Portal de Santa Madrona, 36, 08001 Barcelona, Spain",2.7,0,1,0,0,0,1,1,0,0,1,3.0,"Carrer del Portal de Santa Madrona, 36, Barcelona",True,41.3749083,2.1730694,08001,El Raval,Ciutat Vella
Restaurante Nico's,"Carrer dels Nou Pins, 36, 08016 Barcelona, Spain",3.0,0,1,1,1,1,1,1,0,1,1,20.0,"Carrer dels Nou Pins, 36, Barcelona",True,41.442925,2.1821221,08016,Porta-La Prosperitat,Nou Barris
Bangla Spice,"C. de la Cera, 42, 08001 Barcelona, Spain",4.3,0,1,0,0,0,0,1,0,0,1,46.0,"Carrer de la Cera, 42, Barcelona",True,41.378006,2.1650879,08001,El Raval,Ciutat Vella
El Carrussel,"Carrer de l'Emancipació, 38, 08022 Barcelona, Spain",4.5,0,1,1,1,0,1,0,1,1,0,60.0,"Carrer de l'Emancipació, 38, Barcelona",,41.40351849999999,2.133183100000001,08022,Sarria - La Bonanova,Les Corts
Nina Burgers and Cocktails,"C/ del Clot, 34, 08018 Barcelona, Spain",4.2,1,1,1,1,1,1,1,1,1,1,663.0,"Carrer del Clot, 34, Barcelona",True,41.4066781,2.1877877,08018,El Clot,Sant Marti
Dr. Zhang Dumpling Bar,"C/ de Sepúlveda, 137, 08011 Barcelona, Spain",4.6,1,1,1,1,0,1,1,0,1,1,715.0,"Carrer de Sepúlveda, 137, Barcelona",True,41.3816973,2.1603286,08011,Esquerra Eixample,Eixample
Frankfurt pedralbes,"C/ d'Arístides Maillol, 08028 Barcelona, Spain",,0,1,0,0,0,0,1,0,0,1,,"Carrer d'Arístides Maillol, Barcelona",True,41.3790618,2.120007300000001,08028,Les Corts,Les Corts
Alberto Bar Restaurante,"C/ de Provença, 534, 08025 Barcelona, Spain",3.5,0,1,0,0,0,0,0,0,0,0,2.0,"Carrer de Provença, 534, Barcelona",,41.4078397,2.1791797,08025,Camps d'en Grassot i Gracia Nova,Gracia
Roto’s burger,"Carrer de Llauder, 7, 08003 Barcelona, Spain",4.1,1,1,1,1,0,1,1,0,1,1,151.0,"Carrer de Llauder, 7, Barcelona",True,41.3814132,2.1835392,08003,Barceloneta,Ciutat Vella
Rostisseria IAN,"C/ del Pla de Fornells, 10, 08042 Barcelona, Spain",4.9,1,0,0,0,0,0,1,0,0,1,126.0,"Carrer del Pla de Fornells, 10, Barcelona",True,41.44638,2.176712,08042,Canyelles - Roquetes,Nou Barris
Keik Cafè Restaurant,"Carrer del Dr. Fleming, 21, 08017 Barcelona, Spain",4.2,1,1,1,1,1,1,1,0,1,1,754.0,"Carrer del Doctor Fleming, 21, Barcelona",True,41.394144,2.1346019,08017,Vallvidrera,Sarria - Sant Gervasi
MAMA DIMSUM,"C/ de Bailèn, 169, 08037 Barcelona, Spain",4.9,0,1,1,0,0,1,1,0,0,1,41.0,"Carrer de Bailèn, 169, Barcelona",,41.4005697,2.165478199999999,08037,Dreta Eixample,Eixample
Mimo-Bar de vins i platillos,"Carrer del Vallespir, 172, 08014 Barcelona, Spain",4.7,1,1,1,1,0,1,1,0,1,1,59.0,"Carrer del Vallespir, 172, Barcelona",True,41.3835619,2.1345326,08014,La Bordeta - Les Corts,Sants - Montjuic
Trikini,"C. de Pujades, 226, 08005 Barcelona, Spain",4.7,0,1,0,1,0,1,1,0,1,1,959.0,"Carrer de Pujades, 226, Barcelona",True,41.4030253,2.2027339,08005,Poblenou,Sant Marti
Gonzalez & Co Les Corts,"Carrer de Guitard, 54, 08014 Barcelona, Spain",4.4,1,1,0,1,0,1,1,0,1,1,117.0,"Carrer de Guitard, 54, Barcelona",True,41.3829997,2.1375258,08014,La Bordeta - Les Corts,Sants - Montjuic
Can Subirats,"C/ d'Ausiàs Marc, 155, 08013 Barcelona, Spain",3.9,0,1,0,1,0,0,1,0,1,1,18.0,"Carrer d'Ausiàs Marc, 155, Barcelona",,41.3978157,2.1838812,08013,El Fort Pienc,Eixample
Bar Calders,"C/ del Parlament, 25, 08015 Barcelona, Spain",4.3,0,1,1,1,1,1,1,0,1,1,2479.0,"Carrer del Parlament, 25, Barcelona",True,41.376477,2.1623586,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
Restaurante Ca l' Anglés,"Carrer de Gavà, 20, 08014 Barcelona, Spain",4.4,0,1,1,1,0,1,1,0,1,1,276.0,"Carrer de Gavà, 20, Barcelona",,41.372207,2.1412035,08014,La Bordeta - Les Corts,Sants - Montjuic
Bar Restaurant DESPACITO,"C. de Lope de Vega, 94, 08005 Barcelona, Spain",4.3,0,1,1,1,1,1,1,0,1,1,204.0,"Carrer de Lope de Vega, 94, Barcelona",True,41.40439060000001,2.2038355,08005,Poblenou,Sant Marti
THAI LOTUS,"C/ de la Jota, 22, 24, 08016 Barcelona, Spain",4.5,0,1,1,1,0,1,1,1,1,1,301.0,"Carrer de la Jota, 22, 24, Barcelona",True,41.4294756,2.1823108,08016,Porta-La Prosperitat,Nou Barris
Bendito Fuoco,"C/ del Rosselló, 235, 08008 Barcelona, Spain",4.0,1,1,1,1,0,1,1,0,1,1,1339.0,"Carrer del Rosselló, 235, Barcelona",True,41.394194,2.1581668,08008,Antiga Esquerra Eixample,Eixample
O Ferrado,"C/ de Numància, 75, 08029 Barcelona, Spain",,0,1,1,0,0,0,0,0,0,0,,"Carrer de Numància, 75, Barcelona",True,41.3844444,2.1375,08029,Sarria,Sarria - Sant Gervasi
Lokillo Bar Taverna,"Carrer de Sant Elm, C/ del Mar, 75, 08003 Barcelona, Spain",4.5,0,1,0,1,0,1,1,0,1,1,583.0,"Carrer de Sant Elm, Carrer del Mar, 75, Barcelona",,41.3779637,2.1887196,08003,Barceloneta,Ciutat Vella
Domino's Pizza,"C/ de València, 79, 08029 Barcelona, Spain",3.7,1,1,0,0,0,0,0,0,0,1,1635.0,"Carrer de València, 79, Barcelona",True,41.385016,2.15274,08029,Sarria,Sarria - Sant Gervasi
La Barra del 7 Portes Pla de Palau,"Carrer de la Reina Cristina, 11, 08003 Barcelona, Spain",4.3,0,1,1,1,0,1,1,0,1,1,203.0,"Carrer de la Reina Cristina, 11, Barcelona",True,41.38202419999999,2.1836138,08003,Barceloneta,Ciutat Vella
Tucco Real Food Born,"Carrer del Consolat de Mar, 23, 08003 Barcelona, Spain",4.6,1,1,1,1,1,1,1,1,1,1,3177.0,"Carrer del Consolat de Mar, 23, Barcelona",True,41.3823255,2.1819472,08003,Barceloneta,Ciutat Vella
Restaurant Can Tuchana S.L.,"C/ de la Ciutat de Granada, 33, 08005 Barcelona, Spain",4.2,0,1,0,0,0,0,0,0,0,0,6.0,"Carrer de la Ciutat de Granada, 33, Barcelona",,41.3974688,2.1990708,08005,Poblenou,Sant Marti
Restaurante los Ángeles,"Gran Via de les Corts Catalanes, 479, 08015 Barcelona, Spain",4.0,0,1,0,0,0,0,0,0,0,0,2.0,"Gran Via de les Corts Catalanes, 479, Barcelona",,41.3802774,2.1554805,08015,Nova Esquerra Exiample - Sant Antoni,Eixample
TGB,"C/ de Sicília, 215, 08013 Barcelona, Spain",3.4,1,1,0,1,0,1,1,0,0,1,419.0,"Carrer de Sicília, 215, Barcelona",True,41.4014187,2.1735145,08013,El Fort Pienc,Eixample
Village Tandoori,"Carrer del Roser, 35, 08004 Barcelona, Spain",4.2,1,1,1,0,0,1,1,1,0,1,423.0,"Carrer del Roser, 35, Barcelona",True,41.3731604,2.1666141,08004,Poble Sec,Sants - Montjuic
Bar Restaurant Pinotxo,"Carrer del Compte d'Urgell 1 Mercat de Sant Antoni 18-19-20-21, 08011 Barcelona, Spain",4.4,0,1,0,1,1,0,1,0,1,1,1034.0,"Carrer del Compte d'Urgell 1 Mercat de Sant Antoni 18-19-20-21, Barcelona",True,41.3789312,2.1626212,08011,Esquerra Eixample,Eixample
Cafeteria Institut del Teatre,"08004 Barcelona, Spain",3.8,0,1,0,1,0,0,1,0,1,1,4.0,Barcelona,True,41.37158299999999,2.156887,08004,Poble Sec,Sants - Montjuic
Bar restaurant Martinez,"C/ de Bailèn, 158, 08037 Barcelona, Spain",4.7,0,1,1,1,0,0,0,0,1,1,71.0,"Carrer de Bailèn, 158, Barcelona",,41.40001170000001,2.1666902,08037,Dreta Eixample,Eixample
"Tapas, pinchos Blai Barcelona","Carrer de Blai, 48, 08004 Barcelona, Spain",3.4,0,1,0,1,0,1,1,0,1,1,97.0,"Carrer de Blai, 48, Barcelona",True,41.3742084,2.1633092,08004,Poble Sec,Sants - Montjuic
Sushiko ，Barceloneta,"Pg. de Joan de Borbó, 70, 08003 Barcelona, Spain",4.0,1,1,1,1,0,1,1,0,1,1,406.0,"Passeig de Joan de Borbó, 70, Barcelona",True,41.37585740000001,2.1892697,08003,Barceloneta,Ciutat Vella
TAKO restaurant Cuina Japonesa,"C. de Villarroel, 88, 08011 Barcelona, Spain",3.7,0,1,1,1,0,1,1,0,1,1,9.0,"Carrer de Villarroel, 88, Barcelona",,41.38460329999999,2.1579653,08011,Esquerra Eixample,Eixample
Can Punyetes,"Carrer de la Ciutat de Balaguer, 50, 08022 Barcelona, Spain",4.1,0,1,1,1,0,1,1,0,1,0,699.0,"Carrer de la Ciutat de Balaguer, 50, Barcelona",True,41.4040228,2.1348192,08022,Sarria - La Bonanova,Les Corts
Brabo,"C/ de Sèneca, 28, 08006 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,0,81.0,"Carrer de Sèneca, 28, Barcelona",True,41.3965262,2.155631000000001,08006,El Farro,Sarria - Sant Gervasi
Aladdin Restaurante,"Av. de Gaudí, 50, 08025 Barcelona, Spain",4.4,1,1,1,1,1,1,1,1,1,1,3796.0,"Avinguda de Gaudí, 50, Barcelona",True,41.4086611,2.1745222,08025,Camps d'en Grassot i Gracia Nova,Gracia
Ruta 40 - tapes & entrepans argentins,"C/ de Nàpols, 314, 08025 Barcelona, Spain",4.5,1,1,1,1,1,1,1,1,1,1,476.0,"Carrer de Nàpols, 314, Barcelona",,41.4042,2.1679499,08025,Camps d'en Grassot i Gracia Nova,Gracia
Gurtej,"C/ de Roger de Flor, 215, 08025 Barcelona, Spain",,0,1,0,0,0,0,0,0,0,0,,"Carrer de Roger de Flor, 215, Barcelona",,41.4014468,2.1689877,08025,Camps d'en Grassot i Gracia Nova,Gracia
La Rostisseria,"Carrer d'Enric Casanovas, 58, 08016 Barcelona, Spain",4.2,1,1,0,0,0,0,1,0,0,1,20.0,"Carrer d'Enric Casanovas, 58, Barcelona",,41.4409549,2.1796868,08016,Porta-La Prosperitat,Nou Barris
Sensi Tapas,"Carrer Ample, 24, 08002 Barcelona, Spain",4.5,0,1,1,1,1,1,0,1,1,0,1630.0,"Carrer Ample, 24, Barcelona",True,41.3802567,2.1799008,08002,Barri Gotic,Ciutat Vella
Can Pizza Universitat,"Ronda de la Univ., 20, 08007 Barcelona, Spain",4.4,1,1,1,1,0,1,1,0,1,1,601.0,"Ronda de la Universitat, 20, Barcelona",True,41.38681589999999,2.1676503,08007,Antiga Esquerra Eixample,Eixample
Cadaqués,"Plaça de la Vila de Gràcia, 11, 08012 Barcelona, Spain",2.3,1,1,1,1,1,1,1,0,1,1,1031.0,"Plaça de la Vila de Gràcia, 11, Barcelona",True,41.400545,2.157399299999999,08012,Vila de Gracia,Gracia
La Tasca de Pancho,"C/ del Clot, 155, 08026 Barcelona, Spain",4.5,0,1,0,1,0,0,1,0,1,1,16.0,"Carrer del Clot, 155, Barcelona",,41.41210950000001,2.1897842,08026,Camp de l'arpa,Sant Marti
Buenaventura organic cafe,"C/ de Trafalgar, 50, 08010 Barcelona, Spain",,0,0,0,0,0,0,0,0,0,0,,"Carrer de Trafalgar, 50, Barcelona",,41.38957690000001,2.1769756,08010,Dreta Eixample,Eixample
Stage Sky Bar & Lounge,"Hotel Occidental Barcelona 1929, Carrer de la Creu Coberta, 20-22, 08014 Barcelona, Spain",3.4,0,1,0,1,0,0,0,0,1,0,5.0,"Hotel Occidental Barcelona 1929, Carrer de la Creu Coberta, 20-22, Barcelona",True,41.3753804,2.1475591,08014,La Bordeta - Les Corts,Sants - Montjuic
Masaya,"C/ del Bisbe Sivilla, 42, 08022 Barcelona, Spain",4.2,0,1,0,0,0,0,0,0,0,0,212.0,"Carrer del Bisbe Sivilla, 42, Barcelona",,41.4041088,2.1343309,08022,Sarria - La Bonanova,Les Corts
El Til·ler,"C/ de Roger de Llúria, 134, 08037 Barcelona, Spain",4.9,0,1,1,1,0,1,1,0,1,0,16.0,"Carrer de Roger de Llúria, 134, Barcelona",True,41.3984191,2.1621367,08037,Dreta Eixample,Eixample
