name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
Bar Vicenç,"Avinguda Meridiana, 184, 186, 08026 Barcelona, Spain",4.0,0,1,1,1,0,0,0,0,1,1,50.0,"Avinguda Meridiana, 184, 186, Barcelona",,41.4126987,2.1872503,08026,Camp de l'arpa,Sant Marti
El Racó d'Àngel,"Carrer de Folgueroles, 24, 08022 Barcelona, Spain",4.6,0,1,1,1,1,1,1,0,1,1,319.0,"Carrer de Folgueroles, 24, Barcelona",,41.40790610000001,2.1362685,08022,Sarria - La Bonanova,Les Corts
Five Guys Sagrada Familia,"C/ de Provença, 427, 08025 Barcelona, Spain",4.2,1,1,0,1,0,1,1,1,0,1,2838.0,"Carrer de Provença, 427, Barcelona",True,41.4040284,2.1734993,08025,Camps d'en Grassot i Gracia Nova,Gracia
Morgan's Mexicà,"C/ de Numància, 75, 08029 Barcelona, Spain",4.8,0,1,0,1,0,1,1,1,1,1,170.0,"Carrer de Numància, 75, Barcelona",,41.3844444,2.1375,08029,Sarria,Sarria - Sant Gervasi
ESPECIARIUM BAR - Barcelona,"Carrer de la Princesa, 29, 08003 Barcelona, Spain",4.7,1,1,1,1,0,0,0,1,0,1,709.0,"Carrer de la Princesa, 29, Barcelona",,41.3857089,2.1807634,08003,Barceloneta,Ciutat Vella
Hula,"C/ d'Ausiàs Marc, 4, 08010 Barcelona, Spain",4.4,1,1,1,1,0,1,1,1,0,1,998.0,"Carrer d'Ausiàs Marc, 4, Barcelona",True,41.3898964,2.1739845,08010,Dreta Eixample,Eixample
La empanada,"Pg. de St. Joan, 5, 08010 Barcelona, Spain",2.7,0,1,0,0,0,0,0,0,0,0,6.0,"Passeig de Sant Joan, 5, Barcelona",,41.3918993,2.178921799999999,08010,Dreta Eixample,Eixample
"""El Bistro""","Carrer de Lorena, 79, 08042 Barcelona, Spain",4.0,0,1,0,0,0,0,0,0,0,0,3.0,"Carrer de Lorena, 79, Barcelona",,41.43760809999999,2.1725523,08042,Canyelles - Roquetes,Nou Barris
Restaurante Pho,"Carrer de Sants, 141, 08028 Barcelona, Spain",3.7,1,1,1,1,0,1,1,0,1,1,112.0,"Carrer de Sants, 141, Barcelona",True,41.37535249999999,2.133363,08028,Les Corts,Les Corts
Viena,"C/ de Potosí, 2, 08030 Barcelona, Spain",3.8,1,1,0,1,0,1,1,1,1,1,1248.0,"Carrer de Potosí, 2, Barcelona",True,41.43925709999999,2.1974552,08030,San Andres Palomar,Sant Andreu
